Food,Category,Edible?,Limit?
Mozzarella,Cheese,Yes,-
Parmesan,Cheese,Yes,-
Swiss,Cheese,Yes,-
Barbeque sauce,Condiments,Yes,-
Chutney,Condiments,Yes with limits,1 tbsp max
Garlic infused oil,Condiments,Yes,-
Golden syrup,Condiments,Yes,-
Strawberry jam,Condiments,Yes,-
Mayonnaise,Condiments,Yes,-
Mustard,Condiments,Yes,-
Soy sauce,Condiments,Yes,-
Tomato sauce,Condiments,Yes,-
Olive oil,Condiments,Yes,-
Sesame oil,Condiments,Yes,-
Wasabi,Condiments,Yes with limits,1 tsp max
Sesame oil,Condiments,Yes,-
Vinegar,Condiments,Yes with limits,"Apple cider, balsamic, rice wine - 2 tbsp max."
Oil,Condiments,Yes with limits,"Avocado, canola, coconut, sunflower, vegetable"
Caper,Condiments,Yes with limits,1 tbsp max.
Vegemite,Condiments,Yes with limits,1 tsp max.
Cumin,Condiments,Yes,-
Paprika,Condiments,Yes,-
Hommus dip,Condiments,No,-
Jam(mixed berries),Condiments,No,-
Pasta sauce (cream based),Condiments,No,-
Relish,Condiments,No,-
Tzatziki dip,Condiments,No,-
Aspartame,Sweeteners,Yes,-
Acesulfame K,Sweeteners,Yes,-
Glucose,Sweeteners,Yes,-
Saccharine,Sweeteners,Yes,-
Stevia,Sweeteners,Yes,-
Sucralose,Sweeteners,Yes,-
"Sugar/sucrose",Sweeteners,Yes,-
Agave,Sweeteners,No,-
High Frucose Corn Syrup(HFCS),Sweeteners,No,-
Honey,Sweeteners,No,-
Inulin,Sweeteners,No,-
Isomalt,Sweeteners,No,-
Maltitol,Sweeteners,No,-
Mannitol,Sweeteners,No,-
Sorbitol,Sweeteners,No,-
Xylitol,Sweeteners,No with limits,"Sugar-free gum, mints, cough drops"
Beer ,Drinks,Yes with limits,1 max
Caffine,Drinks,Yes with limit,Black
Drinking chocolate powder,Drinks,Yes,-
Tea,Drinks,Yes with limits,"Black, white, green"
Orange juice (125ml max),Drinks,Yes with limits,-
Peppermint tea,Drinks,Yes,125ml max
Water,Drinks,Yes,-
Wine (one max),Drinks,Yes with limits,1 max
Vodka,Drinks,Yes with limits,1 max
Gin,Drinks,Yes with limits,1 max
Whisky,Drinks,Yes with limits,1 max
Coconut water,Drinks,No,-
Apple juice,Drinks,No,-
Pear juice,Drinks,No,-
Mango juice,Drinks,No,-
Soda with HFCS,Drinks,No,-
Fennel tea,Drinks,No,-
Rum,Drinks,No,-
Tea,Drinks,No with limits,"Chamomile, fennel & oolong"
"Kettle's Baked Potato Chips",Snacks,Yes with limits,Sea Salt flavour
Rice Cake,Snacks,Yes,2 plain max
Rice Cracker,Snacks,Yes with limits,20 plain max
Jelly,Snacks,Yes with limits,250ml max
